Mes;Ventas Totales;;;;;;;;;;;;$50.304.100;;;;;;
2024;;;;;;;;;;;;;;;;;;;
ene;$1.062.500;;;;;;;;;;;;;;;;;;
feb;$3.551.000;;;;;;;;;;;;;;;;;;
mar;$3.153.650;;;;;;;;;;;;;;;;;;
abr;$833.100;;;;;;;;;;;;;;;;;;
may;$4.101.850;;;;;;;;;;;;;;;;;;
jun;$5.017.800;;;;;;;;;;;;;;;;;;
jul;$3.588.000;;;;;;;;;;;;;;;;;;
ago;$12.130.350;;;;;;;;;;;;;;;;;;
sept;$2.388.750;;;;;;;;;;;;;;;;;;
oct;$3.060.250;;;;;;;;;;;;;;;;;;
nov;$2.167.250;;;;;;;;;;;;;;;;;;
dic;$9.249.600;;;;;;;;;;;;;;;;;;
Total general;$50.304.100;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
País;Ventas Totales;;;;;;;;;;;;;;;;;;
Ecuador;$251.250;;;;;;;;;;;;;;;;;;
Uruguay;$935.000;;;;;;;;;;;;;;;;;;
Argentina;$2.102.750;;;;;;;;;;;;;;;;;;
Perú;$4.182.050;;;;;;;;;;;;;;;;;;
Colombia;$4.707.700;;;;;;;;;;;;Etiquetas de fila;Ventas Totales;;;;;
Costa Rica;$4.742.000;;;;;;;;;;;;Accesorios;$378.750;;;;;
Estados Unidos;$5.223.100;;;;;;;;;;;;Hogar;$333.000;;;;;
Chile;$6.159.700;;;;;;;;;;;;Oficina;$15.659.000;;;;;
Brasil;$6.694.800;;;;;;;;;;;;Tecnología;$33.933.350;;;;;
España;$6.805.850;;;;;;;;;;;;Total general;$50.304.100;;;;;
México;$8.499.900;;;;;;;;;;;;;;;;;;
Total general;$50.304.100;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;País;Ventas Totales;;;;;;;;;;
;;;;;;;;Ecuador;251250;;;;;;;;;;
Producto;Ventas Totales;;;;;;;Uruguay;935000;;;;;;;;;;
Silla Ergonómica;$4.686.000;;;;;;;Argentina;2102750;;;;;;;;;;
Escritorio Compacto;$4.743.000;;;;;;;Perú;4182050;;;;;;;;;;
Impresora Láser;$6.230.000;;;;;;;Colombia;4707700;;;;;;;;;;
Tablet 10 pulgadas;$9.288.000;;;;;;;Costa Rica;4742000;;;;;;;;;;
Laptop Pro 14;$19.275.000;;;;;;;Estados Unidos;5223100;;;;;;;;;;
Total general;$44.222.000;;;;;;;Chile;6159700;;;;;;;;;;
;;;;;;;;Brasil;6694800;;;;;;;;;;
;;;;;;;;España;6805850;;;;Etiquetas de fila;;Etiquetas de fila;;Etiquetas de fila;;Etiquetas de fila
;;;;;;;;México;8499900;;;;Marketplace;;Accesorios;;Argentina;;ene
;;;;;;;;Total general;50304100;;;;;;Hogar;;Brasil;;feb
;;;;;;;;;;;;;;;Oficina;;Chile;;mar
;;;;;;;;;;;;;;;Tecnología;;Colombia;;abr
;;;;;;;;;;;;;;;;;Costa Rica;;may
;;;;;;;;;;;;;;;;;Ecuador;;jun
;;;;;;;;;;;;;;;;;España;;jul
Canal;Ventas Totales;;;;;;;;;;;;;;;;Estados Unidos;;ago
Marketplace;100,00%;;;;;;;;;;;;;;;;México;;sept
Total general;100,00%;;;;;;;;;;;;;;;;Perú;;oct
;;;;;;;;;;;;;;;;;Uruguay;;nov
;;;;;;;;;;;;;;;;;;;dic
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Canal: Marketplace;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Categoría: Todos;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;País: Todos;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Mes: Todos;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Filtros aplicados: Canal: Marketplace | Categoría: Todos | País: Todos | Mes: Todos;;;;;;
;;;;;;;;;;;;;;;;;;;
Ventas Totales;Cantidad Vendida;Número de Ventas;Ticket Promedio;Precio Promedio por Unidad;;;;;;;;452;;;;;;;
$50.304.100;452;96;$524.001;$111.292;;;;;;;;96;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Etiquetas de fila;Ventas Totales;;;;;;;;;;;;;;;;;;
Accesorios;$378.750;;;;;;;;;;;;;;;;;;
Hogar;$333.000;;;;;;;;;;;;;;;;;;
Oficina;$15.659.000;;;;;;;;;;;;;;;;;;
Tecnología;$33.933.350;;;;;;;;;;;;;;;;;;
Total general;$50.304.100;;;;;;;;;;;;;;;;;;
